favourite_count,retweet_account,time,tweet
331264,35028,2018-10-09 03:47:49,Congratulations to Drew Brees on the all time passing record. Always a class act.
695167,68728,2018-10-03 19:08:58,"Happy Anniversary, @MichelleObama. For 26 years, youve been an extraordinary partner, someone who can always make https://t.co/csomlGbL1B"
214437,47289,2018-10-01 16:46:18,"Today, Im proud to endorse even more Democratic candidates who arent just running against something, but for some https://t.co/oqewS0Y8vZ"
117335,11680,2018-09-29 16:29:29,"From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And https://t.co/mlAp2SRZlP"
380176,100976,2018-09-25 20:49:10,"The antidote to government by a powerful few is government by the organized, energized many. This National Voter Re https://t.co/3W5pfaUdKd"
89871,13932,2018-09-14 16:20:47,"The first class of Obama Fellows is full of leaders like Keithhardworking, innovative, and dedicated to partnering https://t.co/nOd6FzH23n"
763404,139027,2018-09-11 13:52:34,"We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who de https://t.co/ku270JQnwl"
265533,47566,2018-09-07 15:08:22,Today Im at the University of Illinois to deliver a simple message to young people all over the country: You need https://t.co/brM6Vd7j2R
392117,56782,2018-08-29 19:54:41,Yesterday I met with high school students on Chicagos Southwest side who spent the summer learning to code some pr https://t.co/hY9B0mSQB9
373876,33499,2018-08-26 21:40:29,Congratulations to Hawaii for winning the Little League World Series! You make America very proud.  https://t.co/8Un7LPXgX1
866515,182665,2018-08-26 01:09:45,Our statement on the passing of Senator John McCain: https://t.co/3GBjNYxoj5
587131,131242,2018-08-16 16:31:18,"Aretha helped define the American experience. In her voice, we could feel our history, all of it and in every shade https://t.co/hUcQpbdydq"
218227,38509,2018-08-06 14:53:32,"Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals, the idea that a https://t.co/mMVBHEBzsv"
198999,35043,2018-08-01 16:20:24,"Im confident that, together, theyll strengthen this country we love by restoring opportunity, repairing our allia https://t.co/CgiImgqCDD"
235081,53526,2018-08-01 16:20:04,"Today Im proud to endorse such a wide and impressive array of Democratic candidates  leaders as diverse, patrioti https://t.co/i0MECnqfJr"
251109,39292,2018-07-18 16:19:30,"Mandela Day is about taking action to change the world for the better. In these young people, I see Madiba's exampl https://t.co/iT1v545C2L"
409910,56533,2018-07-13 13:42:22,"This week, Im traveling to Africa for the first time since I left office  a continent of wonderful diversity, thr https://t.co/UDROtalUlX"
148563,12789,2018-06-12 15:09:54,Congratulations to the @Capitals! This @NHLBlackhawks fan knows what its like to lift that cup  and Im happy for https://t.co/9LG5lxLQC7
1100195,233855,2018-06-08 16:01:17,"Low plastic stool, cheap but delicious noodles, cold Hanoi beer. This is how Ill remember Tony. He taught us abo https://t.co/l79o6OyNAT"
216073,48264,2018-06-01 15:33:58,"This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, fo https://t.co/Nr5qxK8sgu"
589312,113049,2018-05-28 16:02:01,"We can never truly repay the debt we owe our fallen heroes. But we can remember them, honor their sacrifice, and af https://t.co/iHLhFdhoZQ"
133571,19938,2018-05-23 20:40:01,This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle a https://t.co/XN7anzCTst
584701,57144,2018-05-13 14:32:16,"Happy Mothers Day to every mom out there, especially the remarkable moms in my life, @MichelleObama and my mother- https://t.co/QsZPuZ2OoJ"
441795,129466,2018-05-08 19:40:56,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the p https://t.co/ym4YTPpbWl
199208,30017,2018-04-23 19:13:36,"These talented young people will create a better future not just in Africa, but around the world. I cant wait to s https://t.co/0YgQxnOrz9"
320973,49401,2018-04-18 00:44:58,Our statement on the passing of Former First Lady Barbara Bush: https://t.co/MhTVYCL9Nj
223456,19749,2018-03-25 15:34:31,Incredible to have a Chicago team in the Final Four. Ill take that over an intact bracket any day! Congratulations https://t.co/V9IbaSlbIp
1558495,315488,2018-03-24 17:07:47,Michelle and I are so inspired by all the young people who made todays marches happen. Keep at it. Youre leading https://t.co/d0DTg594Cs
136752,26566,2018-03-19 21:48:18,Our most important task as a nation is to make sure all our young people can achieve their dreams. Weve started th https://t.co/gNw9ks6pMY
171918,25746,2018-03-19 15:10:02,"In Singapore with young people who are advocating for education, empowering young women, and getting involved all o https://t.co/V5uHCeMWUa"
276462,28743,2018-03-16 00:22:18,41: I like the competition. And the loyalty to the home team. - 44 https://t.co/XG3ChMtW0M
129265,12682,2018-03-15 23:16:02,Congrats to @LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!
259932,37802,2018-03-14 20:12:59,"Just because I have more time to watch games doesnt mean my picks will be better, but here are my brackets this ye https://t.co/gWpZwlceV3"
1411899,262711,2018-03-14 14:58:59,Have fun out there among the stars. https://t.co/S285MTwGtp
172244,19176,2018-03-12 18:12:41,"Four years ago, @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians an https://t.co/kneWyU2Tu1"
235585,36222,2018-02-28 02:58:41,"I got my start holding community meetings in Chicago, so it was fun to be home for one tonight. Michelle and I want https://t.co/1ammpZayJx"
1609365,435123,2018-02-22 16:00:44,"Young people have helped lead all our great movements. How inspiring to see it again in so many smart, fearless stu https://t.co/wXO3wBtJ8V"
252207,33650,2018-02-21 16:33:04,"Billy Graham was a humble servant who prayed for so many - and who, with wisdom and grace, gave hope and guidance t https://t.co/V8WtgIRPEB"
1290522,364806,2018-02-15 17:12:17,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can hon https://t.co/LWGSkzRapH
1489202,233222,2018-02-14 16:25:03,"Happy Valentines Day, @MichelleObama. You make every day and every place better. https://t.co/aWvyytR7Mm"
1426877,360045,2018-01-15 14:46:02,"Dr. King was 26 when the Montgomery bus boycott began. He started small, rallying others who believed their efforts https://t.co/N0zwBg7gTi"
492930,111515,2017-12-29 16:11:11,"All across America people chose to get involved, get engaged and stand up. Each of us can make a difference, and al https://t.co/zxpKVnNeHZ"
301881,47580,2017-12-29 16:10:36,"Ten-year-old Jahkil Jackson is on a mission to help homeless people in Chicago. He created kits full of socks, toil https://t.co/7mNk6dmnyC"
264516,64893,2017-12-29 16:10:04,"Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville, V https://t.co/KxUk5Wle6h"
152853,23010,2017-12-29 16:09:31,"Kat Creech, a wedding planner in Houston, turned a postponed wedding into a volunteer opportunity for Hurricane Har https://t.co/MCXiSuAVJN"
766269,170478,2017-12-29 16:09:04,"As we count down to the new year, we get to reflect and prepare for whats ahead. For all the bad news that seemed https://t.co/WaUHkVww2g"
1438621,242223,2017-12-25 16:05:05,"On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj"
404965,57537,2017-12-14 22:39:13,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from yo https://t.co/gp5dCy9oN2
671392,81251,2017-12-13 00:17:20,"Happy Hanukkah, everybody, from the Obama family to yours. Chag Sameach!"
220724,84363,2017-12-11 20:16:29,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for healt https://t.co/A9QvCySWJ8
1130001,110211,2017-11-27 21:13:50,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life https://t.co/KC9nmjZPuX
1349842,205903,2017-11-23 14:44:27,"From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz"
1960522,483248,2017-11-20 19:02:11,"ME:  Joe, about halfway through the speech, Im gonna wish you a happy birth--
BIDEN:  ITS MY BIRTHDAY!
ME:  Joe. https://t.co/5qLUsDoaMi"
419108,70425,2017-11-08 13:25:21,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th https://t.co/ZvUKZIDGAj
188401,56047,2017-11-07 01:02:17,Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw
495736,112970,2017-11-06 00:51:32,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.
532590,92793,2017-11-06 00:51:09,"We grieve with all the families in Sutherland Springs harmed by this act of hatred, and well stand with the survivors as they recover..."
249951,131528,2017-11-01 13:06:59,"Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t https://t.co/6eN1Y5TQGV"
685823,99157,2017-11-01 00:56:44,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.
175672,20600,2017-10-30 21:36:12,"Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation."
301676,52312,2017-10-23 22:03:41,"Ill let you and @ladygaga handle the singing, and well handle the donations. Theres still time to give: https://t.co/0NnaR3bozh"
489554,80033,2017-10-22 00:02:08,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this ye https://t.co/nFSou6JC6n
658553,88399,2017-10-16 22:59:00,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal."
1651889,379288,2017-10-02 12:41:16,Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.
495394,58358,2017-09-30 02:22:08,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. https://t.co/WBzcltmgqj
327505,108883,2017-09-26 17:03:55,"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us a https://t.co/gkrp1RwXR4"
320985,56031,2017-09-25 23:36:36,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament https://t.co/XDtkLu32wd"
1445584,423046,2017-09-20 02:30:52,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.
148562,30309,2017-09-18 20:07:58,"Coding is important  and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, g https://t.co/xwlnvxsjKb"
256582,62637,2017-09-13 14:08:59,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're gettin https://t.co/xY0UhBSvqp
1330623,329372,2017-09-11 15:32:51,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.
231826,30180,2017-09-08 21:34:23,Proud of these McKinley Tech studentsinspiring young minds that make me hopeful about our future. https://t.co/nqYC1mjjTB
326344,96890,2017-09-07 23:06:48,Americans always answer the call. https://t.co/SV1jixOExu https://t.co/ktEvL6s89d
896561,367871,2017-09-05 18:52:01,"To target hopeful young strivers who grew up here is wrong, because theyve done nothing wrong. My statement: https://t.co/TCxZdld7L4"
810125,235670,2017-08-27 23:14:23,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one https://t.co/I3RHWyZe31
1568129,305519,2017-08-17 19:15:11,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.
1371859,394368,2017-08-13 00:06:39,"""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela"
1538220,476996,2017-08-13 00:06:27,"""People must learn to hate, and if they can learn to hate, they can be taught to love..."""
4484024,1652518,2017-08-13 00:06:09,"""No one is born hating another person because of the color of his skin or his background or his religion..."" https://t.co/InZ58zkoAm"
2028506,394446,2017-07-20 00:49:02,"John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John."
433097,126443,2017-06-22 19:41:08,Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7
1323985,244707,2017-06-18 15:09:20,"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad https://t.co/XSqMhcSuvR"
380787,69774,2017-06-02 17:35:54,"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole https://t.co/S7dth6Ywb0"
687290,127540,2017-05-29 13:09:16,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we https://t.co/BwRS0onlOL
483505,72547,2017-05-27 13:15:25,Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims https://t.co/f1U8It8AmE
214197,41594,2017-05-25 14:13:35,"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer https://t.co/xyMer891Zo"
1006555,212540,2017-05-23 16:56:14,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.
82070,9608,2017-05-22 21:16:23,"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in https://t.co/bF1kB1GvxC"
715792,107825,2017-05-14 14:01:16,"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there."
119889,23078,2017-05-03 19:42:16,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR"
492625,124939,2017-05-02 17:19:26,"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil https://t.co/jB3LXT94Ok"
794077,138113,2017-03-23 13:00:20,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.
393951,64901,2017-03-19 15:51:23,"Chuck Berry rolled over everyone who came before him  and turned up everyone who came after.  We'll miss you, Chuck.  Be good."
268117,50082,2017-03-08 21:14:58,"On International Womens Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang https://t.co/Er9mIQlmgr"
103752,17975,2017-03-02 15:22:07,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them: https://t.co/25Ohhab8Xn
115479,25975,2017-02-17 19:37:55,We asked. You answered. https://t.co/mAJvko6VqR
1076315,248494,2017-02-14 15:34:47,"Happy Valentines Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN"
232771,34377,2017-01-22 18:07:02,I read letters like these every single day. It was one of the best parts of the job  hearing from you. https://t.co/so1luBcszV
231907,51621,2017-01-20 21:05:04,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT"
1805302,415188,2017-01-20 21:04:08,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then well get back to work."
73987,13303,2017-01-10 23:44:14,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell"
28359,4383,2016-11-05 15:38:53,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx"
45032,9010,2016-11-04 22:16:14,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a"
24698,5861,2016-11-04 18:25:16,The landmark #ParisAgreement enters into force todaywe must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
17213,3764,2016-11-04 16:12:12,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport"
8910,1493,2016-11-03 21:02:36,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
11148,1840,2016-11-03 19:08:49,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"
11583,2144,2016-11-02 18:22:43,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU
14337,3093,2016-11-02 15:13:34,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now openmake sure you and y https://t.co/89gl6pzMGD"
6212,928,2016-11-01 20:17:35,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i
10201,2188,2016-11-01 17:55:30,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe https://t.co/jvdFY87XBu"
5529,1077,2016-11-01 15:54:09,"The Obamacare marketplace is now open. If you're uninsured, now is the time to shop for a plan and #GetCovered. https://t.co/Spjlga4eTT"
32695,6572,2016-10-31 22:09:10,Lions and Tiggers and bears! Oh my! #HappyHalloween https://t.co/iU4fjBhi0Y
5266,971,2016-10-31 20:12:07,Usted y su familia merecen la tranquilidad de saber que estn cubiertos. El mercado de seguros abre maana. https://t.co/9iRCkLRGZD
4984,959,2016-10-31 18:08:56,"Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj"
7307,1671,2016-10-31 17:00:21,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less https://t.co/BUmnRO9B3E
4780,1001,2016-10-31 15:33:29,Open enrollment begins tomorrowmake sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3
5436,1345,2016-10-28 16:50:43,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob
12817,3590,2016-10-28 15:07:46,Senate leaders should put the common good above politicsthe integrity of our nation's highest court depends on it. https://t.co/iRVCEl1pzf
6093,1230,2016-10-27 22:17:29,Don't ghost on your health and well-beingyour chance to #GetCovered is coming up. Open enrollment starts November https://t.co/qwNLazuPiz
10512,4225,2016-10-27 21:31:51,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u
8297,1923,2016-10-27 20:24:15,"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO"
7612,1799,2016-10-27 18:55:15,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID
4861,1558,2016-10-27 17:04:36,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate
4928,1064,2016-10-27 15:27:13,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C
6950,2100,2016-10-26 19:32:32,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI"
7185,1459,2016-10-26 17:33:39,"No one's too wrapped up in pre-existing conditions to #GetCovered. 
Thanks to Obamacare, you can find a plan that m https://t.co/C7H9TZdxeU"
3727,762,2016-10-26 16:26:29,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH
